Survived,Sex,Age,AgeGroup,Title,Pclass,Fare,FareBand,SibSp,Parch,FamilySize,Embarked
0,male,1.0,Child,Master,3,39.6875,"(31.0, 512.329]",4,1,6,S
1,male,9.0,Child,Master,3,20.525,"(14.454, 31.0]",0,2,3,S
1,female,37.0,Adult,Mrs,1,55.0,"(31.0, 512.329]",0,1,2,S
0,female,45.0,Middle,Mrs,3,27.9,"(14.454, 31.0]",1,4,6,S
0,male,37.0,Adult,Mr,1,25.925,"(14.454, 31.0]",0,0,1,S
0,male,28.0,Adult,Mr,3,56.4958,"(31.0, 512.329]",0,0,1,S
0,male,61.0,Senior,Mr,1,33.5,"(31.0, 512.329]",0,0,1,S
0,male,4.0,Child,Master,3,29.125,"(14.454, 31.0]",4,1,6,Q
1,female,1.0,Child,Miss,3,11.1333,"(7.91, 14.454]",1,1,3,S
0,male,21.0,Adult,Mr,3,7.925,"(7.91, 14.454]",0,0,1,S
0,male,56.0,Middle,Mr,1,30.6958,"(14.454, 31.0]",0,0,1,C
0,male,18.0,Teen,Mr,3,7.8542,"(-0.001, 7.91]",1,1,3,S
0,male,24.0,Adult,Master,3,25.4667,"(14.454, 31.0]",3,1,5,S
0,female,50.0,Middle,Miss,1,28.7125,"(14.454, 31.0]",0,0,1,C
0,male,30.0,Adult,Mr,2,13.0,"(7.91, 14.454]",0,0,1,S
0,male,36.0,Adult,Mr,3,0.0,"(-0.001, 7.91]",0,0,1,S
0,female,24.0,Adult,Miss,3,69.55,"(31.0, 512.329]",8,2,11,S
0,male,29.0,Adult,Mr,2,15.05,"(14.454, 31.0]",0,0,1,C
0,male,9.0,Child,Master,3,31.3875,"(31.0, 512.329]",4,2,7,S
1,male,1.0,Child,Master,2,39.0,"(31.0, 512.329]",2,1,4,S
1,female,4.0,Child,Miss,3,22.025,"(14.454, 31.0]",0,2,3,S
0,male,37.0,Adult,Mr,1,50.0,"(31.0, 512.329]",0,0,1,S
1,female,24.0,Adult,Mrs,3,15.5,"(14.454, 31.0]",1,0,2,Q
1,male,45.0,Middle,Mr,1,26.55,"(14.454, 31.0]",0,0,1,S
0,male,40.0,Adult,Mr,3,15.5,"(14.454, 31.0]",1,1,3,Q
0,male,36.0,Adult,Mr,3,7.8958,"(-0.001, 7.91]",0,0,1,S
1,female,32.0,Adult,Mrs,2,13.0,"(7.91, 14.454]",0,0,1,S
0,male,19.0,Teen,Mr,2,13.0,"(7.91, 14.454]",0,0,1,S
1,female,19.0,Teen,Miss,3,7.8542,"(-0.001, 7.91]",1,0,2,S
1,male,3.0,Child,Master,2,26.0,"(14.454, 31.0]",1,1,3,S
1,female,44.0,Middle,Mrs,1,27.7208,"(14.454, 31.0]",0,0,1,C
1,female,58.0,Middle,Miss,1,146.5208,"(31.0, 512.329]",0,0,1,C
0,male,24.0,Adult,Mr,3,7.75,"(-0.001, 7.91]",0,0,1,Q
0,male,42.0,Middle,Mr,3,8.4042,"(7.91, 14.454]",0,1,2,S
1,female,24.0,Adult,Miss,3,7.75,"(-0.001, 7.91]",0,0,1,Q
0,female,24.0,Adult,Miss,2,13.0,"(7.91, 14.454]",0,0,1,S
0,male,28.0,Adult,Mr,3,9.5,"(7.91, 14.454]",0,0,1,S
0,male,24.0,Adult,Mr,3,69.55,"(31.0, 512.329]",8,2,11,S
0,male,34.0,Adult,Mr,3,6.4958,"(-0.001, 7.91]",0,0,1,S
0,male,45.5,Middle,Mr,3,7.225,"(-0.001, 7.91]",0,0,1,C
1,male,18.0,Teen,Mr,3,8.05,"(7.91, 14.454]",0,0,1,S
0,female,2.0,Child,Miss,3,10.4625,"(7.91, 14.454]",0,1,2,S
0,male,32.0,Adult,Mr,3,15.85,"(14.454, 31.0]",1,0,2,S
1,male,26.0,Adult,Mr,3,18.7875,"(14.454, 31.0]",0,0,1,C
1,female,16.0,Teen,Miss,3,7.75,"(-0.001, 7.91]",0,0,1,Q
1,male,40.0,Adult,Mr,1,31.0,"(14.454, 31.0]",0,0,1,C
0,male,24.0,Adult,Mr,3,7.05,"(-0.001, 7.91]",0,0,1,S
1,female,35.0,Adult,Miss,2,21.0,"(14.454, 31.0]",0,0,1,S
0,male,22.0,Adult,Mr,3,7.25,"(-0.001, 7.91]",0,0,1,S
0,male,30.0,Adult,Mr,2,13.0,"(7.91, 14.454]",0,0,1,S
0,male,24.0,Adult,Mr,3,7.75,"(-0.001, 7.91]",1,0,2,Q
1,female,31.0,Adult,Miss,1,113.275,"(31.0, 512.329]",1,0,2,C
1,female,27.0,Adult,Miss,3,7.925,"(7.91, 14.454]",0,0,1,S
0,male,42.0,Middle,Mr,2,27.0,"(14.454, 31.0]",1,0,2,S
1,female,32.0,Adult,Miss,1,76.2917,"(31.0, 512.329]",0,0,1,C
0,male,30.0,Adult,Mr,2,10.5,"(7.91, 14.454]",0,0,1,S
1,male,16.0,Teen,Mr,3,8.05,"(7.91, 14.454]",0,0,1,S
0,male,27.0,Adult,Mr,2,13.0,"(7.91, 14.454]",0,0,1,S
0,male,51.0,Middle,Mr,3,8.05,"(7.91, 14.454]",0,0,1,S
0,male,24.0,Adult,Mr,3,7.8958,"(-0.001, 7.91]",0,0,1,S
1,male,38.0,Adult,Mr,1,90.0,"(31.0, 512.329]",1,0,2,S
0,male,22.0,Adult,Mr,3,9.35,"(7.91, 14.454]",0,0,1,S
1,male,19.0,Teen,Mr,2,10.5,"(7.91, 14.454]",0,0,1,S
0,male,20.5,Adult,Mr,3,7.25,"(-0.001, 7.91]",0,0,1,S
0,male,18.0,Teen,Mr,2,13.0,"(7.91, 14.454]",0,0,1,S
0,female,24.0,Adult,Miss,3,25.4667,"(14.454, 31.0]",3,1,5,S
1,female,35.0,Adult,Mrs,1,83.475,"(31.0, 512.329]",1,0,2,S
0,male,29.0,Adult,Mr,3,7.775,"(-0.001, 7.91]",0,0,1,S
0,male,59.0,Middle,Mr,2,13.5,"(7.91, 14.454]",0,0,1,S
1,female,5.0,Child,Miss,3,31.3875,"(31.0, 512.329]",4,2,7,S
0,male,24.0,Adult,Mr,2,10.5,"(7.91, 14.454]",0,0,1,S
0,female,24.0,Adult,Miss,3,7.55,"(-0.001, 7.91]",0,0,1,S
0,male,44.0,Middle,Mr,2,26.0,"(14.454, 31.0]",1,0,2,S
1,female,8.0,Child,Miss,2,26.25,"(14.454, 31.0]",0,2,3,S
0,male,19.0,Teen,Mr,2,10.5,"(7.91, 14.454]",0,0,1,S
0,male,33.0,Adult,Mr,2,12.275,"(7.91, 14.454]",0,0,1,S
0,female,24.0,Adult,Miss,3,14.4542,"(7.91, 14.454]",1,0,2,C
1,female,24.0,Adult,Miss,3,15.5,"(14.454, 31.0]",1,0,2,Q
0,male,29.0,Adult,Mr,2,10.5,"(7.91, 14.454]",0,0,1,S
0,male,22.0,Adult,Mr,3,7.125,"(-0.001, 7.91]",0,0,1,S
0,male,30.0,Adult,Mr,3,7.225,"(-0.001, 7.91]",0,0,1,C
0,male,44.0,Middle,Rare,1,90.0,"(31.0, 512.329]",2,0,3,Q
0,female,25.0,Adult,Miss,3,7.775,"(-0.001, 7.91]",0,0,1,S
1,female,24.0,Adult,Mrs,2,14.5,"(14.454, 31.0]",0,2,3,S
1,male,37.0,Adult,Mr,1,52.5542,"(31.0, 512.329]",1,1,3,S
0,male,54.0,Middle,Rare,2,26.0,"(14.454, 31.0]",1,0,2,S
0,male,24.0,Adult,Mr,3,7.25,"(-0.001, 7.91]",0,0,1,S
0,female,29.0,Adult,Mrs,3,10.4625,"(7.91, 14.454]",1,1,3,S
0,male,62.0,Senior,Mr,1,26.55,"(14.454, 31.0]",0,0,1,S
0,male,30.0,Adult,Mr,3,16.1,"(14.454, 31.0]",1,0,2,S
0,female,41.0,Middle,Mrs,3,20.2125,"(14.454, 31.0]",0,2,3,S
1,female,29.0,Adult,Mrs,3,15.2458,"(14.454, 31.0]",0,2,3,C
1,female,37.0,Adult,Mrs,1,79.2,"(31.0, 512.329]",0,0,1,C
1,female,30.0,Adult,Miss,1,86.5,"(31.0, 512.329]",0,0,1,S
1,female,35.0,Adult,Miss,1,512.3292,"(31.0, 512.329]",0,0,1,C
1,female,50.0,Middle,Mrs,2,26.0,"(14.454, 31.0]",0,1,2,S
0,male,24.0,Adult,Mr,3,7.75,"(-0.001, 7.91]",0,0,1,Q
1,male,3.0,Child,Master,3,31.3875,"(31.0, 512.329]",4,2,7,S
0,male,52.0,Middle,Mr,1,79.65,"(31.0, 512.329]",1,1,3,S
0,male,40.0,Adult,Mr,1,0.0,"(-0.001, 7.91]",0,0,1,S
0,female,24.0,Adult,Miss,3,7.75,"(-0.001, 7.91]",0,0,1,Q
0,male,36.0,Adult,Mr,2,10.5,"(7.91, 14.454]",0,0,1,S
0,male,16.0,Teen,Mr,3,39.6875,"(31.0, 512.329]",4,1,6,S
1,male,25.0,Adult,Mr,3,7.775,"(-0.001, 7.91]",1,0,2,S
1,female,58.0,Middle,Mrs,1,153.4625,"(31.0, 512.329]",0,1,2,S
1,female,35.0,Adult,Miss,1,135.6333,"(31.0, 512.329]",0,0,1,S
0,male,37.0,Adult,Mr,1,31.0,"(14.454, 31.0]",0,0,1,S
1,male,25.0,Adult,Mr,3,0.0,"(-0.001, 7.91]",0,0,1,S
1,female,41.0,Middle,Mrs,2,19.5,"(14.454, 31.0]",0,1,2,S
0,male,37.0,Adult,Mr,1,29.7,"(14.454, 31.0]",0,1,2,C
1,female,24.0,Adult,Miss,3,7.75,"(-0.001, 7.91]",0,0,1,Q
1,female,63.0,Senior,Miss,1,77.9583,"(31.0, 512.329]",1,0,2,S
0,female,45.0,Middle,Miss,3,7.75,"(-0.001, 7.91]",0,0,1,S
0,male,29.0,Adult,Mr,2,0.0,"(-0.001, 7.91]",0,0,1,S
0,male,7.0,Child,Master,3,29.125,"(14.454, 31.0]",4,1,6,Q
1,female,35.0,Adult,Mrs,3,20.25,"(14.454, 31.0]",1,1,3,S
0,male,65.0,Senior,Mr,3,7.75,"(-0.001, 7.91]",0,0,1,Q
0,male,28.0,Adult,Mr,3,7.8542,"(-0.001, 7.91]",0,0,1,S
0,male,16.0,Teen,Mr,3,9.5,"(7.91, 14.454]",0,0,1,S
1,male,19.0,Teen,Mr,3,8.05,"(7.91, 14.454]",0,0,1,S
0,male,37.0,Adult,Mr,1,26.0,"(14.454, 31.0]",0,0,1,S
0,male,33.0,Adult,Mr,3,8.6625,"(7.91, 14.454]",0,0,1,C
1,male,30.0,Adult,Mr,3,9.5,"(7.91, 14.454]",0,0,1,S
0,male,22.0,Adult,Mr,3,7.8958,"(-0.001, 7.91]",0,0,1,S
1,male,42.0,Middle,Mr,2,13.0,"(7.91, 14.454]",0,0,1,S
1,female,22.0,Adult,Miss,3,7.75,"(-0.001, 7.91]",0,0,1,Q
1,female,26.0,Adult,Miss,1,78.85,"(31.0, 512.329]",0,0,1,S
1,female,19.0,Teen,Mrs,1,91.0792,"(31.0, 512.329]",1,0,2,C
0,male,36.0,Adult,Mr,2,12.875,"(7.91, 14.454]",0,0,1,C
0,female,24.0,Adult,Miss,3,8.85,"(7.91, 14.454]",0,0,1,S
0,male,24.0,Adult,Mr,3,7.8958,"(-0.001, 7.91]",0,0,1,S
0,male,37.0,Adult,Mr,1,27.7208,"(14.454, 31.0]",0,0,1,C
0,male,23.5,Adult,Mr,3,7.2292,"(-0.001, 7.91]",0,0,1,C
0,female,2.0,Child,Miss,1,151.55,"(31.0, 512.329]",1,2,4,S
1,male,37.0,Adult,Mr,1,30.5,"(14.454, 31.0]",0,0,1,S
1,female,50.0,Middle,Mrs,1,247.5208,"(31.0, 512.329]",0,1,2,C
1,female,24.0,Adult,Miss,3,7.75,"(-0.001, 7.91]",0,0,1,Q
1,male,24.0,Adult,Mr,3,23.25,"(14.454, 31.0]",2,0,3,Q
0,male,19.0,Teen,Mr,3,0.0,"(-0.001, 7.91]",0,0,1,S
1,female,29.0,Adult,Miss,2,12.35,"(7.91, 14.454]",0,0,1,Q
0,male,24.0,Adult,Mr,3,8.05,"(7.91, 14.454]",0,0,1,S
1,male,0.92,Child,Master,1,151.55,"(31.0, 512.329]",1,2,4,S
1,female,37.0,Adult,Miss,1,110.8833,"(31.0, 512.329]",0,0,1,C
1,female,17.0,Teen,Mrs,1,108.9,"(31.0, 512.329]",1,0,2,C
0,male,30.0,Adult,Mr,2,24.0,"(14.454, 31.0]",1,0,2,C
1,female,30.0,Adult,Miss,1,56.9292,"(31.0, 512.329]",0,0,1,C
1,female,24.0,Adult,Miss,1,83.1583,"(31.0, 512.329]",0,0,1,C
1,female,18.0,Teen,Miss,1,262.375,"(31.0, 512.329]",2,2,5,C
0,female,26.0,Adult,Mrs,2,26.0,"(14.454, 31.0]",1,1,3,S
0,male,28.0,Adult,Mr,3,7.8958,"(-0.001, 7.91]",0,0,1,S
0,male,43.0,Middle,Mr,2,26.25,"(14.454, 31.0]",1,1,3,S
1,female,26.0,Adult,Miss,3,7.8542,"(-0.001, 7.91]",0,0,1,S
1,female,24.0,Adult,Mrs,2,26.0,"(14.454, 31.0]",1,0,2,S
0,male,54.0,Middle,Rare,2,14.0,"(7.91, 14.454]",0,0,1,S
1,female,31.0,Adult,Miss,1,164.8667,"(31.0, 512.329]",0,2,3,S
1,female,40.0,Adult,Mrs,1,134.5,"(31.0, 512.329]",1,1,3,C
0,male,22.0,Adult,Mr,3,7.25,"(-0.001, 7.91]",0,0,1,S
0,male,27.0,Adult,Mr,3,7.8958,"(-0.001, 7.91]",0,0,1,S
1,female,30.0,Adult,Miss,2,12.35,"(7.91, 14.454]",0,0,1,Q
1,female,22.0,Adult,Mrs,2,29.0,"(14.454, 31.0]",1,1,3,S
0,male,24.0,Adult,Mr,3,69.55,"(31.0, 512.329]",8,2,11,S
